title,summary,link
Lactalis’ challenge to Nutri-Score to go before top EU court,"<p>Lactalis has confirmed the French Council of State has referred the dairy giant’s challenge to Nutri-Score to the EU’s top court.</p>
<p>The post <a href=""https://www.just-food.com/news/lactalis-challenge-to-nutri-score-to-go-before-top-eu-court/"">Lactalis’ challenge to Nutri-Score to go before top EU court</a> appeared first on <a href=""https://www.just-food.com"">Just Food</a>.</p>",https://www.just-food.com/news/lactalis-challenge-to-nutri-score-to-go-before-top-eu-court/
Hershey embraces protein trend with new Reese’s snack bars,"<p>Hershey is embracing the protein trend with a new snack bar under the US-based confectionery giant’s Reese’s brand.</p>
<p>The post <a href=""https://www.just-food.com/news/hershey-embraces-protein-trend-with-new-reeses-snack-bars/"">Hershey embraces protein trend with new Reese’s snack bars</a> appeared first on <a href=""https://www.just-food.com"">Just Food</a>.</p>",https://www.just-food.com/news/hershey-embraces-protein-trend-with-new-reeses-snack-bars/
"Libstar volume growth ebbs amid “constrained” consumer backdrop, inflation pressures","<p>Libstar is facing a “severely constrained” consumer and inflation pressures as the South African group reported subdued volume growth.</p>
<p>The post <a href=""https://www.just-food.com/news/libstar-volume-growth-ebbs-amid-constrained-consumer-backdrop-inflation-pressures/"">Libstar volume growth ebbs amid “constrained” consumer backdrop, inflation pressures</a> appeared first on <a href=""https://www.just-food.com"">Just Food</a>.</p>",https://www.just-food.com/news/libstar-volume-growth-ebbs-amid-constrained-consumer-backdrop-inflation-pressures/
Kraft Heinz rejigs structure to speed up growth,"<p>Kraft Heinz is reorganising its operating structure into three regions, the latest move by CEO Steve Cahillane to try to improve the US giant's performance.</p>
<p>The post <a href=""https://www.just-food.com/news/kraft-heinz-rejigs-structure/"">Kraft Heinz rejigs structure to speed up growth</a> appeared first on <a href=""https://www.just-food.com"">Just Food</a>.</p>",https://www.just-food.com/news/kraft-heinz-rejigs-structure/
Rise Baking snaps up wholesale manufacturer Jimmy’s Gourmet Bakery,"<p>Rise Baking Company is set to buy Jimmy’s Gourmet Bakery, a New Jersey-based maker of cookies and other baked goods.</p>
<p>The post <a href=""https://www.just-food.com/news/rise-baking-snaps-up-wholesale-manufacturer-jimmys-gourmet-bakery/"">Rise Baking snaps up wholesale manufacturer Jimmy&#8217;s Gourmet Bakery</a> appeared first on <a href=""https://www.just-food.com"">Just Food</a>.</p>",https://www.just-food.com/news/rise-baking-snaps-up-wholesale-manufacturer-jimmys-gourmet-bakery/
“This is probably the summer when it gets serious” – GLP-1 pill approval to spur change in UK grocery,"<p>The arrival of GLP‑1 weight‑loss drugs in pill form in the UK looks set to increase uptake, which should focus minds across food manufacturers.</p>
<p>The post <a href=""https://www.just-food.com/features/this-is-probably-the-summer-when-it-gets-serious-glp-1-pill-approval-to-spur-change-in-uk-grocery/"">“This is probably the summer when it gets serious” – GLP-1 pill approval to spur change in UK grocery</a> appeared first on <a href=""https://www.just-food.com"">Just Food</a>.</p>",https://www.just-food.com/features/this-is-probably-the-summer-when-it-gets-serious-glp-1-pill-approval-to-spur-change-in-uk-grocery/
European Parliament backs new GMO rules,"<p>The European Parliament has approved new rules on genetically modified plants, clearing the way for a revised framework.</p>
<p>The post <a href=""https://www.just-food.com/news/european-parliament-new-gmo-rules/"">European Parliament backs new GMO rules</a> appeared first on <a href=""https://www.just-food.com"">Just Food</a>.</p>",https://www.just-food.com/news/european-parliament-new-gmo-rules/
Canada food security ambitions left exposed without private capital influx,"<p>Private capital is seen as vital as some observers believe Canada’s food security plans are not enough to significantly expand food manufacturing.</p>
<p>The post <a href=""https://www.just-food.com/features/canada-food-security-ambitions-left-exposed-without-private-capital-influx/"">Canada food security ambitions left exposed without private capital influx</a> appeared first on <a href=""https://www.just-food.com"">Just Food</a>.</p>",https://www.just-food.com/features/canada-food-security-ambitions-left-exposed-without-private-capital-influx/
Fresh Servant plucks Bama Fresh Cuts in foodservice push,"<p>Finnish food company Fresh Servant Group has expanded its presence in foodservice with the acquisition of Bama Fresh Cuts.</p>
<p>The post <a href=""https://www.just-food.com/news/fresh-servant-plucks-bama-fresh-cuts-in-foodservice-push/"">Fresh Servant plucks Bama Fresh Cuts in foodservice push</a> appeared first on <a href=""https://www.just-food.com"">Just Food</a>.</p>",https://www.just-food.com/news/fresh-servant-plucks-bama-fresh-cuts-in-foodservice-push/
Global semiconductors hiring slows after Q1 surge: What this means for your sector,"<p>Track semiconductor hiring trends by AI jobs, cloud computing, top employers, in-demand skills, and key markets.</p>
<p>The post <a href=""https://www.just-food.com/sponsored/global-semiconductors-hiring-slows-after-q1-surge-what-this-means-for-your-sector-3/"">Global semiconductors hiring slows after Q1 surge: What this means for your sector</a> appeared first on <a href=""https://www.just-food.com"">Just Food</a>.</p>",https://www.just-food.com/sponsored/global-semiconductors-hiring-slows-after-q1-surge-what-this-means-for-your-sector-3/
